Paragraph,Labels,Grade
"Unit of speed: Unit of speed is meter/second (m/s), or metre/minute (m/min) or kilometer/hour (km/h).

1000 metre (m) = 1 kilometer (km)","Definition, Property",Grade_7_Physics_Data
Speedometer: A device used to measure the speed of a vehicle is called SPEEDOMETER,Definition,Grade_7_Physics_Data
"Odometer: A device used to measure the distance covered by a vehicle.

",Definition,Grade_7_Physics_Data
"Distance Time Graph: When distance covered by an object and time taken to cover the distance is represented on a graph, the graph is called distance time graph.",Definition,Grade_7_Physics_Data
Distance time graph of a moving vehicle with a constant speed is a straight slanting line.,Property,Grade_7_Physics_Data
Speed-time graph for the same vehicle will be a straight line parallel to x-axis.,Property,Grade_7_Physics_Data
"Motion: When an object changes its position with elapse of time in respect to a stationary object, such as a building, electric pole, etc., the object is said to be in motion.",Definition,Grade_7_Physics_Data
"Slow and Fast Motion: If an object A covers more distance and object B covers less distance in same time, then object A is called in Fast Motion and object B is called in Slow Motion.","Definition, Property",Grade_7_Physics_Data
Rectilinear Motion: Motion along a straight line is known as RECTILINEAR MOTION OR MOTION ALONG A STRAIGHT LINE.,Definition,Grade_7_Physics_Data
"Curvilinear Motion: Motion along a curve line is known as CURVILINEAR MOTION.
",Definition,Grade_7_Physics_Data
"Circular Motion: Motion along a circle is known as CIRCULAR MOTION.
",Definition,Grade_7_Physics_Data
Speed: Distance covered by an object in unit time is called speed. This means Speed is equal to Distance upon Time.,"Definition, Property, Relation",Grade_7_Physics_Data
Uniform Speed: If an object covers a fixed distance in each unit of time the motion is known as UNIFORM MOTION or UNIFORM SPEED.,Definition,Grade_7_Physics_Data
Non-uniform Speed: If an object does not cover a fixed distance in each unit of time the motion is known as NON-UNIFORM MOTION or NON-UNIFORM SPEED.,Definition,Grade_7_Physics_Data
"Average Speed: Total distance covered divided by total time taken is known as AVERAGE SPEED.

Average Speed = Total Distance Covered/Total time taken","Definition, Formula, Relation",Grade_7_Physics_Data
"Periodic Motion or Oscillatory Motion: When an object repeats its motion after every fixed interval of time, the motion of the object is called PERIODIC MOTION OR OSCILLATORY MOTION.",Definition,Grade_7_Physics_Data
"Oscillation: The motion of pendulum starting from one extreme end to another extreme end and back to the first extreme end is called one oscillation.
",Definition,Grade_7_Physics_Data
"Time Period: Time taken to complete one oscillation by the pendulum is called time period.
",Definition,Grade_7_Physics_Data
"Unit of Time: Time is measured in second.
",Definition,Grade_7_Physics_Data
"Unit of speed: Unit of speed is meter/second (m/s).
",Definition,Grade_7_Physics_Data
"Speedometer: A device used to measure the speed of a vehicle is called SPEEDOMETER.
",Definition,Grade_7_Physics_Data
"Odometer: A device used to measure the distance covered by a vehicle.
",Definition,Grade_7_Physics_Data
"Distance time graph of a moving vehicle with a constant speed is a straight slanting line.
",Property,Grade_7_Physics_Data
"Speed-time graph for the same vehicle will be a straight line parallel to x-axis.
",Property,Grade_7_Physics_Data
"Heat
Heat is the transfer of energy from a hot body. The sense of touch can be used to understand the degree of hotness or coldness of something. But the sense of touch is not reliable and cannot be always used to say how much hot anything is. Moreover, using the sense of touch can be risky in case of something being very hot. Thus, hotness of anything is measured in terms of TEMPERATURE in reliable way. To measure temperature a device called THERMOMETER is used.","Definition, Property",Grade_7_Physics_Data
"Unit of heat:
There are three units which are used to measure the temperature: Degree Celsius, Fahrenheit and Kelvin.",Property,Grade_7_Physics_Data
Degree Celsius: Degree Celsius is written as °C and read as degree Celsius or simply Celsius. For example 20°C; it is read as twenty degree Celsius.,Definition,Grade_7_Physics_Data
Fahrenheit: Fahrenheit is written as °F and read as degree Fahrenheit. For example 25°F; it is read as twenty five degree Fahrenheit.,Definition,Grade_7_Physics_Data
"Kelvin: Kelvin is written as K. For example 100K; it is read as hundred Kelvin.

",Definition,Grade_7_Physics_Data
"Thermometer:
Thermometer is a device which is used to measure temperature. Thermometer is made of a long narrow glass tube; with a bulb at one end. The narrow tube appears as a continuous silver line; because it is filled with mercury. Mercury is a metal which is in liquid state at room temperature and it readily expands or contracts at the slightest change in temperature. Hence, mercury is used in thermometer.","Definition, Property, Reasoning",Grade_7_Physics_Data
Laboratory Thermometer: Laboratory thermometer is used to measure the temperature. The scale of temperature is graduated generally from –10°C to 110°C over the glass tube. Each division of temperature scale is further divided into 10 parts to read fraction of temperature.,"Definition, Property",Grade_7_Physics_Data
Clinical Thermometer: Clinical thermometer is used to measure the body temperature. The scale of temperature is graduated from 35°C to 42°C and or from 94°F to 108°F. The temperature of human body always remains within this range and this is the range on the clinical thermometer. There is a kink near the bulb of clinical thermometer which prevents the automatic fall of mercury level.,"Definition, Property",Grade_7_Physics_Data
